PIR Sensor Frequency,ulrasonic1,ulrasonic2,microphone1,microphone2,microphone3,microphone4,microphone5,Turbidity,Obstacle
511.24,420.91,10000.0,34.21,65.49,151.52,155.0,503.42,19.0,Rock
511.24,421.68,419.98,389.05,315.74,152.49,154.0,503.42,55.0,Mine
511.24,421.84,419.96,375.37,269.79,151.52,155.0,503.42,35.0,Mine
511.24,421.68,419.86,362.66,272.73,152.49,154.0,503.42,60.0,Mine
511.24,421.73,419.88,354.84,242.42,152.49,154.0,503.42,45.0,Mine
511.24,421.73,419.82,378.3,301.08,152.49,154.0,503.42,63.0,Mine
511.24,421.73,419.89,374.39,286.41,152.49,155.0,504.4,45.0,Mine
511.24,421.7,419.95,367.55,10049.85,151.52,155.0,504.4,15.0,Mine
511.24,421.68,419.84,358.75,10043.99,152.49,154.0,503.42,15.0,Mine
511.24,421.7,419.89,397.85,511.24,152.49,155.0,503.42,25.0,Mine
511.24,421.73,419.86,381.23,511.24,152.49,154.0,503.42,38.0,Mine
511.24,421.73,419.88,331.38,9957.97,154.45,157.0,503.42,39.0,Mine
511.24,421.71,419.96,360.7,9956.99,154.45,157.0,503.42,16.0,Mine
511.24,421.84,419.98,343.11,9956.01,153.47,156.0,502.44,16.0,Mine
511.24,421.7,419.86,360.7,9956.99,154.45,156.0,503.42,16.0,Mine
511.24,421.73,419.84,348.0,9956.01,154.45,157.0,503.42,16.0,Mine
511.24,421.84,419.98,366.57,9956.99,154.45,157.0,503.42,17.0,Mine
511.24,421.84,419.95,346.04,9956.99,154.45,156.0,503.42,14.0,Mine
511.24,421.73,419.86,363.64,9957.97,153.47,157.0,503.42,30.0,Mine
511.24,421.71,419.86,337.24,9956.01,154.45,157.0,503.42,15.0,Mine
511.24,421.71,419.98,357.77,9957.97,154.45,157.0,503.42,15.0,Mine
511.24,421.85,419.96,345.06,9956.01,154.45,157.0,502.44,16.0,Mine
511.24,421.7,419.84,363.64,9957.97,154.45,157.0,503.42,16.0,Mine
511.24,421.68,419.84,345.06,9955.03,154.45,157.0,503.42,16.0,Mine
511.24,421.84,419.98,365.59,9956.99,154.45,157.0,502.44,17.0,Mine
511.24,421.8,419.95,345.06,9956.01,154.45,157.0,503.42,17.0,Mine
511.24,421.73,419.84,366.57,9956.99,154.45,156.0,503.42,17.0,Mine
511.24,421.7,419.86,342.13,9956.99,154.45,157.0,503.42,5.0,Mine
511.24,421.8,419.96,365.59,9956.01,154.45,157.0,502.44,5.0,Mine
511.24,421.75,419.96,341.15,9956.01,154.45,158.0,503.42,10.0,Mine
511.24,421.75,419.84,356.79,9979.47,152.49,155.0,504.4,10.0,Mine
511.24,421.73,419.86,336.27,10013.69,151.52,154.0,503.42,10.0,Mine
511.24,421.75,419.95,377.32,80.16,152.49,155.0,504.4,28.0,Mine
511.24,421.71,419.82,386.12,282.5,152.49,155.0,504.4,28.0,Mine
511.24,421.73,419.84,387.1,309.87,152.49,155.0,503.42,30.0,Mine
511.24,421.8,419.96,388.07,309.87,152.49,154.0,503.42,30.0,Mine
511.24,421.68,419.84,377.32,289.35,152.49,154.0,503.42,50.0,Mine
511.24,421.73,419.88,214.08,146.63,152.49,154.0,502.44,50.0,Mine
511.24,421.84,419.98,386.12,277.61,152.49,154.0,503.42,50.0,Mine
511.24,421.75,419.98,-182.8,-46.92,150.54,153.0,9917.89,19.0,Mine
511.24,421.73,419.86,0.3,-174.98,150.54,154.0,-138.81,18.0,Mine
511.24,421.73,420.01,9925.71,-192.57,151.52,154.0,9833.82,18.0,Mine
511.24,421.85,420.01,9891.5,10050.83,150.54,152.0,9843.6,18.0,Mine
511.24,421.75,419.88,9949.17,10052.79,151.52,153.0,276.47,17.0,Mine
511.24,421.71,419.86,-195.5,10043.01,151.52,153.0,9914.96,16.0,Mine
511.24,421.75,419.86,9976.54,10043.01,151.52,153.0,9910.07,16.0,Mine
511.24,421.85,419.96,9963.83,9999.02,150.54,153.0,9857.28,16.0,Mine
511.24,421.84,419.95,9913.98,10000.98,150.54,154.0,9826.0,16.0,Mine
511.24,421.75,419.84,9964.81,-170.09,151.52,154.0,-167.16,18.0,Mine
511.24,421.71,419.84,277.45,-165.2,150.54,153.0,-54.74,18.0,Mine
511.24,421.85,419.95,10049.85,-151.52,151.52,154.0,-73.31,18.0,Mine
511.24,421.68,419.89,-27.37,-78.2,150.54,153.0,60.61,38.0,Mine
511.24,421.8,419.96,32.26,4.89,151.52,153.0,83.09,38.0,Mine
511.24,421.8,419.95,9.78,-22.48,151.52,154.0,95.8,38.0,Mine
511.24,421.78,419.95,31.28,6.84,151.52,153.0,76.25,38.0,Mine
511.24,421.7,419.84,10022.48,-152.49,151.52,154.0,-80.16,9.0,Mine
511.24,421.85,419.95,-18.57,-69.4,151.52,154.0,50.83,40.0,Mine
511.24,421.84,419.95,41.06,22.48,151.52,153.0,9775.17,9.0,Mine
511.24,421.73,419.84,10026.39,-157.38,150.54,153.0,9775.17,10.0,Mine
511.24,421.71,419.84,9956.99,10026.39,151.52,153.0,9775.17,10.0,Mine
511.24,421.84,419.96,9918.87,10021.51,150.54,153.0,9775.17,38.0,Mine
511.24,421.84,419.95,9933.53,10049.85,150.54,154.0,9775.17,19.0,Mine
511.24,421.71,419.82,9935.48,7.15,151.52,154.0,9775.17,18.0,Mine
511.24,421.73,419.84,9928.64,9991.2,150.54,154.0,9775.1718,,
511.24,421.84,419.95,9911.05,9996.09,150.54,153.0,9775.17,18.0,Mine
511.24,421.78,419.98,9918.87,10043.01,151.52,154.0,9775.17,25.0,Mine
511.24,421.78,419.96,9938.42,10040.08,150.54,154.0,9775.17,19.0,Mine
511.24,421.73,419.86,9929.62,9992.18,150.54,153.0,9775.17,19.0,Mine
511.24,421.73,419.84,9912.02,9995.11,150.54,153.0,9775.17,18.0,Mine
511.24,421.84,419.96,9915.93,10047.9,151.52,152.0,9775.17,26.0,Mine
511.24,421.75,419.84,9931.57,9.1,153.47,155.0,9808.41,27.0,Mine
511.24,421.7,419.84,9942.33,10000.0,153.47,155.0,9808.41,28.0,Mine
511.24,421.75,420.0,9928.64,9995.11,153.47,155.0,9807.43,28.0,Mine
511.24,421.85,419.95,9930.6,10048.88,154.45,155.0,9810.36,29.0,Mine
511.24,421.75,419.88,9948.19,10043.01,154.45,156.0,9810.36,29.0,Mine
511.24,421.71,419.84,9946.24,9998.04,154.45,155.0,9810.36,28.0,Mine
511.24,421.8,419.96,9930.6,9987.29,154.45,155.0,9811.34,28.0,Mine
511.24,421.85,419.95,9927.66,9.1,154.45,156.0,9812.32,28.0,Mine
511.24,421.73,419.84,9947.21,10045.94,154.45,155.0,9811.34,29.0,Mine
511.24,421.7,419.82,9950.15,1.28,154.45,155.0,9811.34,29.0,Mine
511.24,421.85,419.95,9933.53,9986.31,154.45,156.0,9810.36,13.0,Mine
511.24,421.73,419.95,9926.69,10022.48,153.47,156.0,9811.34,14.0,Mine
511.24,421.75,419.86,9941.35,10044.97,153.47,156.0,9811.34,14.0,Mine
511.24,421.7,419.95,9947.21,4.21,152.49,154.0,511.24,15.0,Mine
511.24,421.75,419.88,138.81,135.87,151.52,155.0,232.65,26.0,Mine
511.24,421.71,419.86,142.72,110.46,152.49,154.0,170.09,26.0,Mine
511.24,421.84,419.98,-12.71,-9.78,152.49,154.0,20.53,27.0,Mine
511.24,421.84,419.96,24.44,-7.82,152.49,154.0,80.16,27.0,Mine
511.24,421.84,419.96,15.64,15.64,152.49,154.0,63.54,27.0,Mine
511.24,421.8,419.96,12.71,-1.96,151.52,154.0,86.02,27.0,Mine
511.24,421.82,419.95,-39.1,-26.39,152.49,153.0,10045.94,12.0,Mine
511.24,421.71,419.84,-31.28,-55.72,152.49,153.0,51.81,26.0,Mine
511.24,421.71,419.95,-18.57,10054.74,151.52,154.0,78.2,6.0,Mine
511.24,421.7,419.88,13.69,-130.99,152.49,155.0,69.4,,Mine
511.24,421.7,419.82,6.17,-156.4,153.47,155.0,1.28,12.0,Mine
511.24,421.8,419.93,-136.85,-110.46,152.49,155.0,-14.66,25.0,Mine
511.24,421.73,419.86,-1.96,94.82,153.47,156.0,10005.86,29.0,Mine
511.24,421.71,419.96,322.58,210.17,153.47,154.0,509.29,38.0,Mine
511.24,421.73,419.86,371.46,219.94,153.47,155.0,9807.43,14.0,Mine
511.24,421.7,419.95,373.41,246.33,152.49,155.0,510.26,36.0,Mine
511.24,421.68,419.96,320.63,200.39,152.49,153.0,511.24,42.0,Mine
511.24,421.7,419.88,361.68,283.48,153.47,154.0,9806.45,17.0,Mine
511.24,421.7,419.84,364.61,289.35,153.47,155.0,510.26,22.0,Mine
511.24,421.7,419.86,370.48,277.61,153.47,155.0,509.29,36.0,Mine
511.24,421.71,419.84,384.16,310.85,153.47,155.0,509.29,27.0,Mine
511.24,421.71,419.96,384.16,-13.69,153.47,155.0,509.29,39.0,Mine
511.24,421.7,419.98,405.67,237.54,153.47,155.0,510.26,50.0,Mine
511.24,421.82,419.98,409.58,9808.41,154.45,156.0,509.29,18.0,Mine
511.24,421.73,419.88,340.18,9807.43,154.45,155.0,509.29,2.0,Mine
511.24,421.7,419.86,370.48,9807.43,154.45,156.0,509.29,14.0,Mine
511.24,421.7,419.98,360.7,9807.43,154.45,156.0,509.29,17.0,Mine
511.24,421.82,419.98,376.34,9807.43,154.45,156.0,28.33,28.0,Mine
511.24,421.8,419.98,345.06,9942.33,153.47,155.0,509.29,8.0,Mine
511.24,421.75,419.88,411.53,9944.28,154.45,156.0,510.26,9.0,Mine
511.24,421.71,419.86,385.14,9808.41,152.49,154.0,508.31,18.0,Mine
511.24,421.73,419.88,404.69,506.35,154.45,155.0,510.26,38.0,Mine
511.24,421.68,419.88,353.86,10025.42,153.47,155.0,510.26,19.0,Mine
511.24,421.8,419.96,404.69,28.33,154.45,156.0,510.26,50.0,Mine
511.24,421.7,419.86,404.69,508.31,153.47,155.0,509.29,50.0,Mine
511.24,421.7,419.84,400.78,28.33,154.45,156.0,510.26,12.0,Negativee
10776.15,422.63,419.82,391.98,508.31,154.45,155.0,509.29,3.0,Mine
10776.15,422.64,419.86,386.12,508.31,154.45,156.0,510.26,13.0,Mine
10776.15,422.75,419.98,352.88,508.31,154.45,155.0,510.26,3.0,Mine
511.24,421.75,419.96,370.48,9807.43,153.47,155.0,509.29,25.0,Mine
511.24,421.68,419.84,340.18,9808.41,153.47,156.0,510.26,13.0,Mine
511.24,421.8,419.96,353.86,9808.41,153.47,155.0,509.29,10.0,Mine
511.24,421.71,419.88,393.94,506.35,154.45,155.0,510.26,32.0,Mine
10776.15,422.64,419.91,342.13,28.33,154.45,155.0,510.26,16.0,Mine
10776.15,422.8,419.98,342.13,9808.41,154.45,155.0,509.29,6.0,Mine
10776.15,422.64,419.98,357.77,28.33,154.45,156.0,510.26,8.0,Mine
10776.15,422.69,419.88,381.23,28.33,154.45,156.0,510.26,9.0,Mine
511.24,421.75,419.86,359.73,9970.67,154.45,156.0,509.29,3.0,Mine
511.24,421.82,419.98,404.69,28.33,154.45,156.0,510.26,31.0,Mine
10776.15,422.68,419.86,377.32,509.29,153.47,156.0,510.26,14.0,Mine
10776.15,422.75,419.96,352.88,508.31,153.47,156.0,510.26,18.0,Mine
10776.15,422.8,419.98,368.52,508.31,154.45,156.0,510.26,14.0,Mine
10776.15,422.64,419.91,383.19,28.33,154.45,156.0,510.26,2.0,Mine
10776.15,422.68,419.86,377.32,508.31,154.45,155.0,509.29,29.0,Mine
10776.15,422.73,419.96,359.73,28.33,154.45,155.0,510.26,18.0,Mine
10776.15,422.63,419.88,383.19,508.31,154.45,156.0,510.26,12.0,Mine
511.24,421.7,419.84,395.89,28.33,154.45,155.0,510.26,48.0,Mine
511.24,421.68,419.82,372.43,28.33,153.47,156.0,509.29,44.0,Mine
10776.15,422.75,419.96,360.7,28.33,153.47,156.0,510.26,1.0,Mine
10776.15,422.66,419.86,337.24,508.31,154.45,156.0,510.26,2.0,Mine
10776.15,422.64,419.84,363.64,28.33,154.45,156.0,510.26,35.0,Mine
10776.15,422.63,419.93,330.4,9807.43,153.47,156.0,510.26,9.0,Mine
10776.15,422.76,419.93,408.6,28.33,153.47,156.0,510.26,18.0,Mine
10776.15,422.63,419.86,286.41,508.31,154.45,156.0,509.29,6.0,Mine
10776.15,422.63,419.86,252.2,9806.45,153.47,156.0,509.29,17.0,Mine
511.24,421.71,419.91,315.74,9807.43,153.47,155.0,510.26,16.0,Mine
511.24,421.71,419.81,334.31,28.33,154.45,156.0,510.26,26.0,Mine
10776.15,422.63,419.86,375.37,28.33,154.45,156.0,510.26,16.0,Mine
10776.15,422.71,419.91,372.43,508.31,154.45,156.0,510.26,17.0,Mine
10776.15,422.63,419.86,348.0,28.33,154.45,156.0,510.26,3.0,Mine
10776.15,422.64,419.86,391.98,508.31,154.45,156.0,510.26,4.0,Mine
10776.15,422.61,419.88,348.0,508.31,154.45,156.0,510.26,14.0,Mine
10776.15,422.73,419.98,325.51,508.31,154.45,155.0,509.29,29.0,Mine
511.24,421.84,419.95,212.12,508.31,154.45,156.0,509.29,45.0,Mine
10776.15,422.73,419.96,312.81,508.31,153.47,155.0,510.26,17.0,Mine
10776.15,422.64,419.86,347.02,508.31,153.47,156.0,510.26,18.0,Mine
10776.15,422.63,419.84,318.67,508.31,154.45,155.0,510.26,10.0,Mine
10776.15,422.68,419.98,375.37,508.31,155.43,157.0,509.29,17.0,Mine
10776.15,422.66,419.89,359.73,509.29,155.43,156.0,509.29,17.0,Mine
10776.15,422.66,419.86,379.28,508.31,154.45,156.0,509.29,14.0,Mine
10776.15,422.78,419.98,372.43,508.31,155.43,157.0,510.26,21.0,Mine
10776.15,422.69,419.89,399.8,509.29,154.45,155.0,510.26,5.0,Mine
10776.15,422.68,419.89,362.66,508.31,154.45,156.0,509.29,7.0,Mine
10776.15,422.8,419.96,380.25,508.31,154.45,156.0,510.26,21.0,Mine
10776.15,422.69,419.88,377.32,508.31,154.45,155.0,509.29,4.0,Mine
10776.15,422.78,419.98,373.41,509.29,154.45,156.0,510.26,17.0,Mine
10776.15,422.78,419.95,418.38,509.29,231.67,227.0,510.26,7.0,Mine
511.24,421.75,419.89,398.83,508.31,239.49,233.0,510.26,32.0,Mine
10776.15,422.66,419.84,-190.62,508.31,246.33,241.0,511.24,48.0,Mine
10776.15,422.76,419.98,-186.71,508.31,247.31,242.0,511.24,18.0,Mine
10776.15,422.66,419.96,137.83,508.31,246.33,241.0,510.26,19.0,Mine
10776.15,422.61,419.82,271.75,476.05,155.43,156.0,510.26,8.0,Mine
10776.15,422.71,419.95,176.93,28.33,154.45,156.0,509.29,2.0,Mine
10776.15,422.71,419.95,293.26,508.31,155.43,157.0,510.26,6.0,Mine
511.24,421.66,419.96,345.06,9805.47,155.43,156.0,510.26,25.0,Mine
10776.15,422.64,419.86,366.57,347.02,153.47,155.0,509.29,15.0,Mine
10776.15,422.64,419.84,348.97,303.03,153.47,155.0,510.26,11.0,Mine
10776.15,422.73,419.96,329.42,-97.75,153.47,155.0,509.29,13.0,Mine
10776.15,422.63,419.95,383.19,130.99,153.47,155.0,510.26,4.0,Mine
511.24,421.85,419.96,371.46,274.68,153.47,155.0,510.26,25.0,Mine
511.24,421.7,419.96,381.23,298.14,153.47,155.0,510.26,27.0,Mine
10776.15,422.66,419.96,371.46,308.9,153.47,155.0,509.29,8.0,Mine
10776.15,422.66,419.89,351.91,272.73,153.47,155.0,509.29,8.0,Mine
10776.15,422.64,419.86,351.91,265.88,153.47,155.0,510.26,2.0,Mine
10776.15,422.75,419.95,366.57,289.35,153.47,155.0,510.26,28.0,Mine
511.24,421.73,419.86,391.01,321.6,152.49,154.0,509.29,30.0,Mine
10776.15,422.76,419.96,353.86,289.35,154.45,155.0,510.26,19.0,Mine
10776.15,422.78,419.96,345.06,264.91,153.47,156.0,510.26,18.0,Mine
10776.15,422.68,419.91,322.58,278.59,153.47,155.0,509.29,14.0,Mine
10776.15,422.75,419.96,397.85,323.56,153.47,155.0,509.29,4.0,Mine
10776.15,422.8,419.98,357.77,280.55,153.47,155.0,510.26,2.0,Mine
10776.15,422.68,419.86,348.0,266.86,153.47,155.0,510.26,8.0,Mine
511.24,421.84,419.98,9794.72,148.58,153.47,155.0,510.26,14.0,Mine
511.24,421.75,419.86,157.38,72.34,153.47,155.0,509.29,26.0,Mine
511.24,421.71,419.98,157.38,104.59,153.47,155.0,510.26,36.0,Mine
511.24,421.75,419.84,157.38,102.64,153.47,155.0,509.29,28.0,Mine
511.24,421.73,419.84,157.38,136.85,152.49,155.0,510.26,27.0,Mine
511.24,421.7,419.86,157.38,104.59,153.47,155.0,510.26,50.0,Mine
511.24,421.85,419.98,157.38,103.62,152.49,155.0,510.26,44.0,Mine
511.24,421.75,419.84,157.38,134.9,153.47,155.0,509.29,24.0,Mine
511.24,421.73,419.88,157.38,118.28,154.45,155.0,508.31,25.0,Mine
511.24,421.8,419.93,9794.72,32.26,153.47,155.0,510.26,11.0,Mine
511.24,421.68,419.96,156.4,102.64,153.47,155.0,510.26,30.0,Mine
511.24,421.71,419.84,157.38,10047.9,153.47,155.0,510.26,26.0,Mine
511.24,421.75,419.88,157.38,164.22,153.47,155.0,510.26,32.0,Mine
511.24,421.77,419.96,159.34,105.57,154.45,157.0,510.26,50.0,Mine
511.24,421.73,419.96,157.38,138.81,153.47,155.0,510.26,25.0,Mine
511.24,421.71,419.88,158.36,175.95,153.47,155.0,509.29,27.0,Mine
511.24,421.82,419.98,157.38,130.99,153.47,155.0,510.26,28.0,Mine
511.24,421.71,419.88,159.34,25.42,156.4,157.0,510.26,49.0,Mine
511.24,421.71,419.98,159.34,9950.15,155.43,156.0,510.26,24.0,Mine
511.24,421.82,419.98,160.31,9951.12,156.4,157.0,508.31,28.0,Mine
511.24,421.68,419.84,159.34,9951.12,155.43,157.0,509.29,17.0,Mine
511.24,421.7,419.86,159.34,9950.15,155.43,157.0,509.29,28.0,Mine
511.24,421.8,419.98,159.34,9950.15,155.43,157.0,509.29,3.0,Mine
511.24,421.71,419.91,159.34,9950.15,155.43,157.0,509.29,14.0,Mine
511.24,421.66,419.82,159.34,9950.15,155.43,157.0,510.26,16.0,Mine
511.24,421.82,419.96,160.31,9951.12,152.49,155.0,509.29,4.0,Mine
511.24,421.8,419.91,159.34,9797.65,154.45,156.0,509.29,27.0,Mine
511.24,421.68,419.86,159.34,9797.65,154.45,157.0,509.29,4.0,Mine
511.24,421.7,419.86,159.34,9799.61,155.43,156.0,510.26,14.0,Mine
511.24,421.77,419.91,159.34,9797.65,154.45,156.0,509.29,12.0,Mine
511.24,421.73,419.81,159.34,9797.65,155.43,156.0,510.26,19.0,Mine
511.24,421.73,419.84,159.34,9797.65,155.43,157.0,509.29,17.0,Mine
511.24,421.85,419.96,159.34,9799.61,154.45,157.0,509.29,3.0,Mine
511.24,421.73,419.95,159.34,9797.65,154.45,157.0,510.26,12.0,Mine
511.24,421.68,419.86,158.36,9797.65,155.43,157.0,509.29,11.0,Mine
511.24,421.7,419.95,159.34,9797.65,155.43,156.0,509.29,15.0,Mine
511.24,421.84,419.95,157.38,370.48,154.45,155.0,510.26,49.0,Mine
511.24,421.7,419.86,157.38,136.85,153.47,154.0,510.26,46.0,Mine
511.24,421.71,419.88,157.38,101.66,153.47,155.0,510.26,22.0,Mine
511.24,421.75,419.96,157.38,93.84,154.45,156.0,509.29,27.0,Mine
511.24,421.71,419.86,158.36,137.83,153.47,155.0,510.26,26.0,Mine
511.24,421.75,419.93,157.38,90.91,153.47,156.0,510.26,31.0,Mine
511.24,421.73,419.84,159.34,105.57,154.45,157.0,509.29,21.0,Mine
511.24,421.73,419.84,157.38,511.24,153.47,156.0,510.26,35.0,Mine
511.24,421.75,420.0,157.38,511.24,154.45,155.0,510.26,27.0,Mine
511.24,421.77,419.96,159.34,86.02,156.4,158.0,510.26,33.0,Mine
511.24,421.84,419.96,159.34,147.61,156.4,158.0,510.26,25.0,Mine
511.24,421.73,419.86,160.31,9952.1,155.43,157.0,510.26,3.0,Mine
511.24,421.75,419.86,159.34,9952.1,155.43,157.0,509.29,19.0,Mine
511.24,421.85,419.96,160.31,9952.1,156.4,157.0,509.29,14.0,Mine
511.24,421.75,419.98,159.34,9951.12,156.4,158.0,510.26,3.0,Mine
511.24,421.75,419.88,159.34,9953.08,156.4,158.0,509.29,28.0,Mine
511.24,421.73,419.98,159.34,9952.1,155.43,157.0,509.29,11.0,Mine
511.24,421.85,419.98,160.31,9951.12,156.4,157.0,510.26,6.0,Mine
511.24,421.75,419.86,159.34,9952.1,156.4,157.0,509.29,11.0,Mine
511.24,421.75,420.0,160.31,9951.12,155.43,157.0,509.29,17.0,Mine
511.24,421.85,419.95,159.34,9951.12,156.4,157.0,509.29,13.0,Mine
511.24,421.73,419.84,159.34,9952.1,155.43,157.0,509.29,27.0,Mine
511.24,421.77,419.91,159.34,9951.12,155.43,158.0,509.29,10.0,Mine
511.24,421.87,420.01,160.31,9953.08,155.43,157.0,510.26,1.0,Mine
511.24,421.77,419.86,160.31,9951.12,156.4,158.0,510.26,3.0,Mine
511.24,421.73,419.88,159.34,9951.12,156.4,157.0,509.29,1.0,Mine
511.24,421.84,419.95,160.31,9952.1,156.4,157.0,508.31,14.0,Mine
511.24,421.77,419.88,160.31,9952.1,156.4,158.0,510.26,17.0,Mine
511.24,421.75,419.91,160.31,9952.1,155.43,157.0,509.29,15.0,Mine
511.24,421.84,419.96,160.31,9952.1,156.4,158.0,510.26,7.0,Mine
511.24,421.71,419.84,157.38,378.3,153.47,155.0,510.26,33.0,Mine
511.24,421.75,419.95,157.38,9981.43,152.49,155.0,510.26,28.0,Mine
511.24,421.73,419.84,157.38,-44.97,153.47,155.0,510.26,36.0,Mine
511.24,421.73,419.88,159.34,9987.29,155.43,158.0,509.29,6.0,Mine
511.24,421.85,419.96,160.31,10002.93,155.43,157.0,509.29,11.0,Mine
511.24,421.73,419.86,159.34,9981.43,155.43,157.0,510.26,15.0,Mine
511.24,421.7,419.88,160.31,6.17,156.4,157.0,510.26,11.0,Mine
511.24,421.71,419.88,160.31,-30.3,155.43,158.0,510.26,28.0,Mine
511.24,421.73,419.88,157.38,10014.66,153.47,155.0,510.26,2.0,Mine
511.24,421.73,419.88,157.38,37.15,153.47,156.0,510.26,46.0,Mine
511.24,421.84,419.96,157.38,10043.99,152.49,155.0,509.29,29.0,Mine
511.24,421.71,419.96,157.38,121.21,153.47,155.0,510.26,36.0,Mine
511.24,421.73,419.86,157.38,103.62,153.47,155.0,509.29,26.0,Mine
511.24,421.73,419.86,157.38,102.64,153.47,155.0,510.26,23.0,Mine
511.24,10594.93,420.82,156.4,112.41,153.47,155.0,510.26,12.0,Rock
511.24,421.84,419.95,157.38,102.64,153.47,156.0,510.26,32.0,Mine
511.24,421.75,419.86,157.38,97.75,153.47,155.0,510.26,38.0,Mine
10776.15,422.68,419.86,158.36,104.59,153.47,156.0,509.29,4.0,Mine
10776.15,422.68,419.86,157.38,100.68,153.47,155.0,510.26,16.0,Mine
